from_borough,to_borough,similarity
Haringey,Harrow,-0.4520484063731152
Camden,Richmond upon Thames,-0.459650692456893
Southwark,Waltham Forest,-0.4711332739462966
Hammersmith and Fulham,Waltham Forest,-0.4760325885697548
Hounslow,Newham,-0.4815478731940261
Greenwich,Newham,-0.492200352868383
Brent,Hounslow,-0.4929505607876092
Bexley,Newham,-0.496007999213554
Brent,Enfield,-0.5017190705241193
Richmond upon Thames,Southwark,-0.5107931234779607
Kingston upon Thames,Newham,-0.5136952183487247
Barking and Dagenham,Brent,-0.515072840440554
Brent,Sutton,-0.5194966045055465
Richmond upon Thames,Tower Hamlets,-0.5424756839009339
Hackney,Richmond upon Thames,-0.5450633578686326
Kensington and Chelsea,Richmond upon Thames,-0.5589127299414044
City of London,Hounslow,-0.5600598970967909
Bexley,Brent,-0.5611783016404501
Richmond upon Thames,Westminster,-0.5664444951650448
City of London,Kingston upon Thames,-0.5722506328325399
Islington,Waltham Forest,-0.5757645404726793
Tower Hamlets,Waltham Forest,-0.5847241402044161
City of London,Lewisham,-0.5856978613587138
Bexley,City of London,-0.5890557278885757
Barnet,Lambeth,-0.59188253716403
Brent,Greenwich,-0.5935119760807421
City of London,Greenwich,-0.5985577584870628
Havering,Newham,-0.6204421971631825
Brent,Havering,-0.6247785575822814
Brent,Kingston upon Thames,-0.6334988729897248
Richmond upon Thames,Wandsworth,-0.6400675965189735
Lambeth,Richmond upon Thames,-0.6446782095489046
Waltham Forest,Westminster,-0.6473894381654536
Hammersmith and Fulham,Richmond upon Thames,-0.6539011634130916
City of London,Enfield,-0.6572944125926765
City of London,Croydon,-0.6602030137565732
City of London,Sutton,-0.6615881481631731
Ealing,Richmond upon Thames,-0.6625174703950955
Merton,Newham,-0.6633322638123523
Bromley,Newham,-0.6705421668241937
Barnet,Kensington and Chelsea,-0.6763822249423187
Barnet,Hammersmith and Fulham,-0.6783859223379066
City of London,Hillingdon,-0.6800585490416227
Kensington and Chelsea,Waltham Forest,-0.6858677976736206
Barnet,Wandsworth,-0.6874230540406744
Barking and Dagenham,City of London,-0.687942882707511
Brent,Bromley,-0.6908657804637746
City of London,Redbridge,-0.7151292637804879
Barnet,Westminster,-0.7218134064707561
City of London,Harrow,-0.7238729025029733
Camden,Waltham Forest,-0.7256246115813739
Islington,Merton,-0.7277132508770985
Barnet,Hackney,-0.7330268641119504
Lambeth,Merton,-0.7389307555256768
Hackney,Merton,-0.7465871634491215
Merton,Southwark,-0.7582443120884187
Barnet,Tower Hamlets,-0.7728444133311569
Barking and Dagenham,Lambeth,-0.7782827940841284
Barnet,Southwark,-0.7787152621425484
Harrow,Kensington and Chelsea,-0.7973947749202815
Barnet,Camden,-0.7977794476287889
Brent,Merton,-0.8052027462301288
Kingston upon Thames,Lambeth,-0.8272531275799647
Camden,Merton,-0.840432585890311
Havering,Kensington and Chelsea,-0.8408045655576375
Merton,Tower Hamlets,-0.8466625528771233
Barnet,Islington,-0.8479565516256217
City of London,Ealing,-0.8479751904206548
Lambeth,Sutton,-0.8520475604602957
Barking and Dagenham,Hackney,-0.8541604448105219
Bromley,Kensington and Chelsea,-0.8546680638674712
Lambeth,Redbridge,-0.859203201812637
Greenwich,Lambeth,-0.8602245376443094
Merton,Wandsworth,-0.8608014205579487
Hillingdon,Kensington and Chelsea,-0.8615920053619056
Harrow,Lambeth,-0.8626585237018591
Hounslow,Kensington and Chelsea,-0.8639115420201425
Harrow,Westminster,-0.8644505690348475
Bromley,Camden,-0.8729304193559767
Hackney,Kingston upon Thames,-0.8742413674323652
Camden,Havering,-0.8775316404415715
Enfield,Lambeth,-0.879026892239381
Barking and Dagenham,Southwark,-0.8883169519519429
Islington,Kingston upon Thames,-0.8895704236549791
Hammersmith and Fulham,Harrow,-0.8901416974714568
Hammersmith and Fulham,Merton,-0.8943986604097178
Kingston upon Thames,Southwark,-0.8961474065763673
Camden,Harrow,-0.8967617448659596
Barnet,City of London,-0.8975316085518008
Merton,Westminster,-0.8999958350700077
Barking and Dagenham,Islington,-0.9009284385163772
Havering,Westminster,-0.904146043264878
Croydon,Lambeth,-0.9065496163379544
Hillingdon,Lambeth,-0.9065686278854376
Harrow,Wandsworth,-0.907427059448024
Bromley,Westminster,-0.9094895525440162
Greenwich,Hackney,-0.910542977990178
Kensington and Chelsea,Merton,-0.9109324135337792
Bexley,Lambeth,-0.9128571531973017
Hackney,Sutton,-0.9167919905767036
Camden,Hounslow,-0.919915108214723
Croydon,Kensington and Chelsea,-0.9209139215532404
Hillingdon,Westminster,-0.9212632220274476
Bromley,Islington,-0.9228259256653208
Hounslow,Westminster,-0.9262309354395069
Greenwich,Islington,-0.9269653900568112
Greenwich,Southwark,-0.9312003765445548
Barking and Dagenham,Wandsworth,-0.9313585601797044
Harrow,Tower Hamlets,-0.9343079666700816
Hackney,Redbridge,-0.9355073974961368
Camden,Hillingdon,-0.936140301013751
Bexley,Kensington and Chelsea,-0.9403214854953454
Enfield,Hackney,-0.941017934595095
Newham,Richmond upon Thames,-0.9421067558496948
Southwark,Sutton,-0.9422765378196332
Hackney,Harrow,-0.943005954911109
Islington,Sutton,-0.9477850120176236
Havering,Islington,-0.949485670504152
Hammersmith and Fulham,Hillingdon,-0.949816075727788
Bromley,Tower Hamlets,-0.9505639298890856
Kensington and Chelsea,Redbridge,-0.9524048240191014
Kingston upon Thames,Wandsworth,-0.9525126058985506
Bexley,Hackney,-0.9575461376692638
Hounslow,Lambeth,-0.958189448979044
Enfield,Kensington and Chelsea,-0.9584130182918204
Barking and Dagenham,Hammersmith and Fulham,-0.9587065896313602
Havering,Tower Hamlets,-0.9587115564975964
Bromley,Southwark,-0.9589272561072946
Camden,Kingston upon Thames,-0.9598357305449786
Hillingdon,Wandsworth,-0.9605721120645704
Harrow,Southwark,-0.962291713330031
Redbridge,Southwark,-0.9626413222265164
Bexley,Camden,-0.9626513278726068
Enfield,Southwark,-0.9631795241320092
Kingston upon Thames,Tower Hamlets,-0.963357713546577
Bexley,Islington,-0.9645927074615352
Croydon,Westminster,-0.9661537388360132
Bromley,Hackney,-0.9665615797825392
Barking and Dagenham,Tower Hamlets,-0.967139974194301
Enfield,Islington,-0.967325846192316
Redbridge,Wandsworth,-0.9673700629289302
Camden,Croydon,-0.9674326093426814
Croydon,Hackney,-0.9676423926896404
Bromley,Lambeth,-0.9687747384778518
Sutton,Wandsworth,-0.9702818909841934
Camden,Greenwich,-0.971549594321068
Bexley,Southwark,-0.9716859294617942
Greenwich,Wandsworth,-0.9725653172762788
Greenwich,Kensington and Chelsea,-0.9728179274662612
